date,open,high,low,close,volume
14/09/1995,2.1661,2.2718,2.1661,2.2453,12915900
15/09/1995,2.2189,2.2718,2.1925,2.2453,3802500
18/09/1995,2.2189,2.2982,2.2189,2.2453,1345500
19/09/1995,2.2189,2.2982,2.2189,2.2189,1305000
20/09/1995,2.2189,2.2982,2.2189,2.2453,648900
21/09/1995,2.2189,2.2718,2.2189,2.2718,1063800
22/09/1995,2.2189,2.2718,2.2189,2.2189,621000
25/09/1995,2.2189,2.2718,2.2189,2.2453,594000
26/09/1995,2.2189,2.2718,2.2189,2.2189,686700
27/09/1995,2.2718,2.2982,2.2189,2.2453,1115100
28/09/1995,2.2718,2.2718,2.2189,2.2189,69300
29/09/1995,2.2844,2.2982,2.2453,2.2982,237600
02/10/1995,2.2453,2.3246,2.2453,2.2453,256500
03/10/1995,2.2453,2.3246,2.2453,2.3246,548100
04/10/1995,2.2844,2.351,2.2718,2.2982,281700
05/10/1995,2.2982,2.3774,2.2982,2.3373,432900
06/10/1995,2.2982,2.3774,2.2982,2.3774,498600
09/10/1995,2.2982,2.3774,2.2982,2.3774,57600
10/10/1995,2.2982,2.3246,2.2718,2.2718,1080000
11/10/1995,2.2718,2.2982,2.2718,2.2982,140400
12/10/1995,2.2718,2.3774,2.2718,2.3373,321300
13/10/1995,2.3373,2.3774,2.2982,2.3373,1192500
16/10/1995,2.2982,2.3373,2.2982,2.3246,100800
17/10/1995,2.2982,2.3774,2.2982,2.3119,127800
18/10/1995,2.3774,2.3774,2.3119,2.3246,57600
19/10/1995,2.3774,2.3774,2.3119,2.3119,405900
20/10/1995,2.3119,2.3774,2.2591,2.2591,349200
23/10/1995,2.2982,2.2982,2.2591,2.2591,431100
24/10/1995,2.2591,2.3246,2.2591,2.2844,1346400
25/10/1995,2.3246,2.3246,2.2844,2.2844,323100
26/10/1995,2.2844,2.3246,2.2844,2.2844,240300
27/10/1995,2.2844,2.351,2.2844,2.3373,541800
30/10/1995,2.3119,2.351,2.2982,2.2982,130500
31/10/1995,2.2982,2.351,2.2982,2.3246,153000
01/11/1995,2.2982,2.3246,2.2982,2.3119,205200
02/11/1995,2.3246,2.3246,2.2982,2.3119,179100
03/11/1995,2.3246,2.3246,2.2982,2.3119,69300
06/11/1995,2.2982,2.3246,2.2718,2.2844,232200
07/11/1995,2.2718,2.2982,2.2453,2.2982,364500
08/11/1995,2.2453,2.2453,2.2453,2.2453,16200
09/11/1995,2.2453,2.2982,2.2453,2.2453,67500
10/11/1995,2.2453,2.2453,2.1925,2.1925,178200
13/11/1995,2.1925,2.2453,2.1788,2.2189,478800
14/11/1995,2.2453,2.2453,2.1788,2.2189,63900
15/11/1995,2.1661,2.2327,2.1661,2.1661,17100
16/11/1995,2.1661,2.1925,2.1534,2.1788,291600
17/11/1995,2.1534,2.1534,2.1006,2.1259,252900
20/11/1995,2.1133,2.1397,2.1133,2.1133,75600
21/11/1995,2.1133,2.1397,2.1133,2.1397,3600
22/11/1995,2.1397,2.1925,2.1259,2.1925,109800
24/11/1995,2.1397,2.1397,2.1397,2.1397,18000
27/11/1995,2.1397,2.1397,2.1397,2.1397,4500
28/11/1995,2.1925,2.2189,2.1397,2.2189,551700
29/11/1995,2.2189,2.2189,2.1661,2.1661,271800
30/11/1995,2.1661,2.351,2.1661,2.1788,1051200
01/12/1995,2.1862,2.1862,2.1006,2.1259,1290600
04/12/1995,2.1397,2.1397,2.1133,2.1397,102600
05/12/1995,2.1661,2.1661,2.1133,2.1397,141300
06/12/1995,2.1133,2.1397,2.1133,2.1397,22500
07/12/1995,2.1133,2.1133,2.1133,2.1133,57600
08/12/1995,2.1133,2.1661,2.1133,2.1397,174600
11/12/1995,2.1925,2.2189,2.1661,2.1661,64800
12/12/1995,2.2453,2.2718,2.1925,2.2327,804600
13/12/1995,2.2189,2.2453,2.2189,2.2453,45000
14/12/1995,2.2453,2.2453,2.2189,2.2453,34200
15/12/1995,2.2591,2.2591,2.2591,2.2591,4500
18/12/1995,2.2189,2.2189,2.1661,2.1788,540000
19/12/1995,2.1661,2.2327,2.1661,2.1661,13500
20/12/1995,2.1661,2.1788,2.1397,2.1788,104400
21/12/1995,2.1397,2.1661,2.1006,2.1534,221400
22/12/1995,2.1788,2.1788,2.1133,2.1133,2700
26/12/1995,2.1133,2.1397,2.1133,2.1133,508500
27/12/1995,2.1133,2.1788,2.1133,2.1259,1148400
28/12/1995,2.1397,2.1925,2.1133,2.1925,145800
29/12/1995,2.2327,2.4704,2.1788,2.4704,523800
02/01/1996,2.4303,2.4567,2.4038,2.4429,1511100
03/01/1996,2.4038,2.4567,2.4038,2.4176,1087200
04/01/1996,2.4038,2.4303,2.4038,2.4303,306000
05/01/1996,2.4038,2.4038,2.3774,2.3774,1422900
08/01/1996,2.3774,2.3774,2.3774,2.3774,0
09/01/1996,2.3774,2.4176,2.3774,2.3774,186300
10/01/1996,2.3774,2.4038,2.3774,2.3774,46800
11/01/1996,2.3774,2.3774,2.3774,2.3774,7200
12/01/1996,2.3774,2.4038,2.3373,2.3373,48600
15/01/1996,2.4038,2.4038,2.3637,2.3637,19800
16/01/1996,2.3637,2.3637,2.3246,2.3246,18000
17/01/1996,2.3246,2.4038,2.3246,2.3246,147600
18/01/1996,2.2591,2.2982,2.2453,2.2591,34200
19/01/1996,2.2591,2.2591,2.2591,2.2591,0
22/01/1996,2.2453,2.2982,2.2453,2.2982,95400
23/01/1996,2.2453,2.2453,2.1661,2.1661,100800
24/01/1996,2.1661,2.1661,2.1133,2.1661,254700
25/01/1996,2.1661,2.1661,2.1534,2.1661,27900
26/01/1996,2.1259,2.1534,2.1259,2.1534,18000
29/01/1996,2.1397,2.1661,2.1397,2.1661,83700
30/01/1996,2.1661,2.1661,2.1397,2.1534,46800
31/01/1996,2.1661,2.1925,2.1397,2.1534,378000
01/02/1996,2.1397,2.1397,2.1259,2.1259,81000
02/02/1996,2.1133,2.1661,2.1133,2.1661,15300
05/02/1996,2.1133,2.1133,2.1133,2.1133,21600
06/02/1996,2.1133,2.1661,2.1133,2.1661,40500
07/02/1996,2.1661,2.1661,2.1661,2.1661,4500
08/02/1996,2.1133,2.1661,2.1133,2.1133,119700
09/02/1996,2.1661,2.1661,2.1661,2.1661,6300
12/02/1996,2.1133,2.1397,2.0869,2.1133,279000
13/02/1996,2.0869,2.1259,2.0869,2.1259,51300
14/02/1996,2.1259,2.1259,2.1133,2.1133,14400
15/02/1996,2.1133,2.1133,2.1133,2.1133,30600
